Word,Phase,Condition,SeenBefore,Item
mistake,study,,no,error
robber,study,,no,thief
reply,study,,no,answer
bravery,study,,yes,
view,study,,no,sight
scent,study,,yes,
centre,study,,yes,
kids,study,,yes,
wedding,study,,no,marriage
writer,study,,no,author
tomb,study,,no,grave
emotion,study,,yes,
form,study,,yes,
humans,study,,yes,
street,study,,yes,
world,study,,no,earth
seat,study,,no,chair
ship,study,,yes,
magician,study,,yes,
object,study,,no,thing
girlfriend,study,,yes,
departure,study,,yes,
weakness,study,,yes,
quantity,study,,yes,
ladder,study,,yes,
insect,study,,yes,
currency,study,,yes,
bonus,study,,yes,
variation,study,,yes,
database,study,,yes,
